"indice","convocatoria","colectiva_nombre","colectiva_url","pais","ciudad","actividad_fecha","actividad_hora","actividad_localizacion","actividad_localizacion_latitude","actividad_localizacion_longitude","actividad_localizacion_altitude","actividad_localizacion_precision","actividad_direccion","actividad_url_imagen","actividad_url_convocatoria"
"290","2024","Rede 8 de Março","https://linktr.ee/8marco","PT","Coimbra","2024-03-08","17:00:00","40.211289707202305 -8.429322883454365 0 0","40.2112897072023","-8.429322883454365","0.0","0.0","Praça 8 de Maio.  Coimbra, Portugal","{{https://i.imgur.com/STvC6SZ.jpeg}}","https://www.facebook.com/photo/?  fbid=817963237030677&set=pb.10006451024949  2.-2207520000"
"291","2024","Rede 8 de Março","https://linktr.ee/8marco","PT","Évora","2024-03-08","18:00:00","38.57085 -7.909391 0 0","38.57085","-7.909391","0.0","0.0","Praça do Geraldo, Évora, Portugal","{{https://i.imgur.com/STvC6SZ.jpeg}}","https://www.facebook.com/photo/?  fbid=817963237030677&set=pb.10006451024949  2.-2207520000"
"292","2024","Rede 8 de Março","https://linktr.ee/8marco","PT","Faro","2024-03-08","18:00:00","37.017152 -7.9288 0 0","37.017152","-7.9288","0.0","0.0","Tribunal, Faro, Portugal","{{https://i.imgur.com/STvC6SZ.jpeg}}","https://www.facebook.com/photo/?  fbid=817963237030677&set=pb.10006451024949  2.-2207520000"
"293","2024","Rede 8 de Março","https://linktr.ee/8marco","PT","Guimarães","2024-03-08","18:00:00","41.441936 -8.295674 0 0","41.441936","-8.295674","0.0","0.0","Praça do Toural, Guimarães, Portugal","{{https://i.imgur.com/STvC6SZ.jpeg}}","https://www.facebook.com/photo/?  fbid=817963237030677&set=pb.10006451024949  2.-2207520000"
"294","2024","Rede 8 de Março","https://linktr.ee/8marco","PT","Leiria","2024-03-08","18:00:00","39.74476 -8.806912 0 0","39.74476","-8.806912","0.0","0.0","Largo 5 de Outubro, Leiria, Portugal","{{https://i.imgur.com/STvC6SZ.jpeg}}","https://www.facebook.com/photo/?  fbid=817963237030677&set=pb.10006451024949  2.-2207520000"
"295","2024","Rede 8 de Março","https://linktr.ee/8marco","PT","Porto","2024-03-08","18:00:00","41.146201 -8.603865 0 0","41.146201","-8.603865","0.0","0.0","Poveiros, Porto, Portugal","{{https://i.imgur.com/STvC6SZ.jpeg}}","https://www.facebook.com/photo/?  fbid=817963237030677&set=pb.10006451024949  2.-2207520000"
"296","2024","Feminism Unlimited","https://feminism-unlimited.org/","DE","Berlin","2024-03-08","15:00:00","52.493818 13.429635 73.9000015258789 20.640600204467773","52.493818","13.429635","73.9000015258789","20.64060020446777","Helsingforser Platz","{{https://don.linxx.net/@feminismunlimited/111975348192024033}}","https://don.linxx.net/@feminismunlimited/111975348192024033"
"297","2024","Perempuan Indonesia","","ID","Jakarta","2024-03-08","07:00:00","-6.184015 106.822936 0 0","-6.184015","106.822936","0.0","0.0","Bawaslu RI, Jl. MH Thamrin No. 14, Jakarta, Indonesia","{{https://i.imgur.com/eCKRMaZ.jpeg}}","https://twitter.com/y_kalyanamitra/status/1765699821275672707/photo/1"
"298","2024","ROSA Socialist Feminist Movement","https://rosaireland.nationbuilder.com/","IE","Dublin","2024-03-09","13:00:00","53.349782 -6.260262 0 0","53.349782","-6.260262","0.0","0.0","Spire, Dublin 1","{{https://i.imgur.com/jeCQ3UY.jpeg}}","https://www.facebook.com/photo?fbid=776350484588792&set=pcb.776350551255452"
"299","2024","Belfast City Council","https://www.reclaimtheagenda.com/","IE","Belfast","2024-03-09","11:00:00","54.602232 -5.929725 0 0","54.602232","-5.929725","0.0","0.0","Writer's Square, Belfast","{{https://i.imgur.com/I9oGcMM.png}}","https://www.reclaimtheagenda.com/international-womens-day-2024"
"300","2024","Women in Prison","https://womeninprison.org.uk/","GB","London","2024-03-07","13:00:00","51.468815 -0.119599 0 0","51.468815","-0.119599","0.0","0.0","2nd Floor Elmfield House, 5 Stockwell Mews, London SW9 9GX, Regne Unit","{{https://i.imgur.com/o95qfSg.jpeg}}","https://www.facebook.com/photo?fbid=714481040894054&set=a.549517284057098"
"301","2024","We are Union","https://www.instagram.com/weare.union","AU","Melbourne","2024-03-07","17:30:00","-37.809706 144.965511 0 0","-37.809706","144.965511","0.0","0.0","Corner Swanston and LaTrobe Sts Naarm, Melbourne, VIC 3000","{{https://i.imgur.com/FORsDzQ.png}}","https://www.weareunion.org.au/iwd2024"
"302","2024","Sydney International Women's Day","https://www.facebook.com/IWDSydney","AU","Sydney","2024-03-09","11:00:00","-33.873217 151.206226 0 0","-33.873217","151.206226","0.0","0.0","Sydney Town Hall","{{https://i.imgur.com/Y8CyXGM.png}}","https://www.facebook.com/events/210631728710335/"
"303","2024","Unions Perth","https://www.unionswa.com.au/","AU","Perth","2024-03-08","12:01:00","-31.952171 115.845954 0 0","-31.952171","115.845954","0.0","0.0","Parliment House","{{https://i.imgur.com/lhN0N7U.png}}","https://www.unionswa.com.au/2024_international_women_s_day_march?fbclid=IwAR3VrztOUteZYn76QagPeTx4Wh58nb63Ztu0dN68pnHk1N6rWA9PN-cfVhk"
"304","2024","Queensland Unions","https://www.qldunions.com/","AU","Brisbane","2024-03-09","11:00:00","-27.472619 153.016581 0 0","-27.472619","153.016581","0.0","0.0","16 Peel St, South Brisbane","{{https://www.apheda.org.au/wp-content/uploads/2024/02/QLD-IWD-event.png}}","https://www.apheda.org.au/international-womans-day-2024-rallies/"
"305","2024","Machacos Women Prison","","KE","Machacos","2024-03-08","00:00:00","-1.5189910130523614 37.260723962509665 0 0","-1.518991013052361","37.26072396250967","0.0","0.0","Machacos Women Prison","{{https://i.imgur.com/tqxeyny.jpeg}}","https://twitter.com/Elsykesh/status/1764554293040791777"
